BRAHMS,COLLECTOR,NUMBER,SPECIES,COUNTRY,MAJORAREA,LOCNOTES,LLRES,QDS,LATDEC,LONGDEC,updatedProv,Check
318641,"Van Jaarsveld, E.J.",441,Plectranthus ciliatus E.Mey. ex Benth.,South Africa,Transvaal,MAMATZEERIE  MT; OKEEFSHUTS,1/4dg,2430DB,-24.62166,30.87166,,
318656,"Van Jaarsveld, E.J.",433,Plectranthus rubropunctatus Codd,South Africa,Transvaal,GRASKOP; PIRROWS GRAVE NR. GRASKOP JUST NE. OF GRAVE,1/4dg,2430DB,-24.62166,30.87166,,
318658,"Van Jaarsveld, E.J.",446,Plectranthus dolichopodus Briq.,South Africa,Transvaal,GRASKOP; 40 M. SW. OF O'KEEFS HUT,1/4dg,2430DB,-24.62166,30.87166,,
318666,"Van Jaarsveld, E.J.",371,Plectranthus hadiensis (Forssk.) Schweinf. ex Spreng. var. t,South Africa,Transvaal,OHRIGSTAD; 2 KM. FROM ORIGSTAD TOWARDS FORT BURERS S. OF RD. ON SLOPE,1/4dg,2430DA,-24.62166,30.62166,,
318785,"Hardy, D.S.",2205,Brachystelma pygmaeum (Schltr.) N.E.Br. subsp. flavidum (Sch,South Africa,Transvaal,PRETORIA DIST.; HAENERTSBURG; 35 MI. S. OF WARMBATHS,1dg,2528,-25.5,28.61666,Gauteng,y
318786,"Hardy, D.S.",2205,Brachystelma pygmaeum (Schltr.) N.E.Br. subsp. flavidum (Sch,South Africa,Transvaal,PRETORIA DIST.; HAENERTSBURG,1dg,2528,-25.5,28.61666,Gauteng,y
318874,"Burger, G.H.",308,Hebenstretia integrifolia L.,South Africa,Transvaal,HEIDELBERG DIST.; ARABELLA STUD,,,0,0,,
318910,"Venter, S.",760,Plectranthus hereroensis Engl.,South Africa,Transvaal,MAGALIESBERG; LINE DRIFT; NET W. VAN KOSMOS IN KLOOF BO STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
319039,"Venter, S.",28,Barleria macrostegia Nees,South Africa,Transvaal,OBERHOLZER; NUWE WOONGEBIED,1/4dg,2627AD,-26.37166,27.37166,North West,y
319288,"Stirton, C.H.",639,Alectra sp.,South Africa,Transvaal,EASTERN TRANSVAAL,,,0,0,,
319317,"Van Jaarsveld, E.J.",1168,Aeollanthus parvifolius Benth.,South Africa,Transvaal,STENTOR NAT. RES.; GROOT ADINA CAMPING SITE,,,0,0,,
319360,"Venter, S.",754,Stachys natalensis Hochst. var. natalensis,South Africa,Transvaal,MAGALIESBERG; LINE DRIFT; NET W. VAN KOSMOS IN KLOOF BO STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
319404,"Stirton, C.H.",1738,Stachys natalensis Hochst. var. natalensis,South Africa,Transvaal,"EERSTE GELUK NO. 16 , ON HILL SLOPE",1/2dg,2531C,-25.75,31.25,,
319408,"Stirton, C.H.",1844,Plectranthus laxiflorus Benth.,South Africa,Transvaal,UITKYK,1/2dg,2530A,-25.25,30.25,,
320347,"Venter, S.",762,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,MAGALIESBERG; LINE DRIFT; IN KLOOF BO STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
320405,"Clarke, B.",595,Cotula nigellifolia (DC.) K.Bremer & Humphries var. nigellif,South Africa,Transvaal,RUSTENBURG; KLEIN JUKSKEI RIVER; WOODMEAD SCHOOL GROUNDS ABOUT 30KM FROM PRETORIA ON KRUGERSDORP ROAD,1/4dg,2527DD,-25.87166,27.87166,Gauteng,y
320423,"Clarke, B.",595,Cotula nigellifolia (DC.) K.Bremer & Humphries var. nigellif,South Africa,Transvaal,RUSTENBURG; KLEIN JUKSKEI RIVER; WOODMEAD SCHOOL GROUNDS ABOUT 30 KM FROMPRETORIA ON KRUGERSDORP ROAD,1/4dg,2527DD,-25.87166,27.87166,Gauteng,y
320484,"Venter, S.",759,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,MAGALIESBERG; LINE DRIFT; IN KLOOF BO STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
320959,"Venter, S.",25,Dicoma sp.,South Africa,Transvaal,OBERHOLZER; NUWE WOONBUURT,1/4dg,2627AD,-26.37166,27.37166,North West,y
321219,"Venter, S.",757,Hypoestes forskaolii (Vahl) R.Br.,South Africa,Transvaal,MAGALIESBERG; RUSTENBURG; NABY HARTEBEESPOORTDAM W. VAN KOSMOS IN KLOOF BOKANT STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
321965,"Venter, S.",751,Asplenium aethiopicum (Burm.f.) Bech.,South Africa,Transvaal,MAGALIESBERG; LINE DRIFT; W. VAN KOSMOS IN KLOOF BO STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
322387,"Vorster, P.J.",1925,Pteris catoptera Kunze var. catoptera [9],South Africa,Transvaal,MAGALIESBERG; JACKSONSTUIN; GALLERY FOR.,1/4dg,2527DA,-25.62166,27.62166,North West,
322429,"Verdoorn, I.C.",1219,Asplenium cordatum (Thunb.) Sw.,South Africa,Transvaal,SILKATSNEK NAT. RES.; SILKAATSNEK NAT. RES. ON LOWER SLOPES OFMT.,1/4dg,2527DB,-25.62166,27.87166,,
322769,"Venter, S.",616,Ophioglossum reticulatum L.,South Africa,Transvaal,RUSTENBURG; MAGALIESBURG; BEKKER LANDBOUSKOOL TEEN KOP AGTER SKOOLIN GROOT KLOOF HALFPAD VAN TOP AF,1/4dg,2527DC,-25.87166,27.62166,North West,y
324144,"De Winter, B.",9575,Spirodela punctata (G.Mey.) C.H.Thomps.,South Africa,Transvaal,HARTEBEESTPOORT DAM; SW. PART OF DAM,1/4dg,2527DD,-25.87166,27.87166,,
325655,"Drijfhout, P.",776,Hypoxis acuminata Baker,South Africa,Transvaal,PRETORIA,1dg,2528,-25.5,28.36666,Gauteng,
325765,"Venter, S.",615,Bonatea polypodantha (Rchb.f.) L.Bolus,South Africa,Transvaal,MAGALIESBERG; BEKKER LANBOUSKOOL; NET AGTER SKOOL.,1/4dg,2527DC,-25.87166,27.62166,North West,y
326217,Barichevy,J183B,Cyperus sp.,South Africa,Transvaal,LEBOWA; KARSPRUIT,,,0,0,,
327134,Barichevy,J183A,Kyllinga melanosperma Nees,South Africa,Transvaal,LEBOWA NORTH; KATSPRUIT.,,,0,0,,
327230,"Burke, J.",76,Lipocarpha chinensis (Osbeck) J.Kern,South Africa,Transvaal,MAGALIESBERG [WITHOUT PRECISE LOCALITY].,,,0,0,North West,y
327390,"Gomes Pedro, J.",449,Bulbostylis oritrephes (Ridl.) C.B.Clarke,South Africa,Transvaal,Without locality.,,,0,0,,
327434,"Gomes Pedro, J.",473,Bulbostylis burchellii (Ficalho & Hiern) C.B.Clarke,South Africa,Transvaal,Without locality.,,,0,0,,
327887,"van Wyk, A.E.",1749,Hypoxis rigidula Baker var. pilosissima Baker,South Africa,Transvaal,MAGALIESBERG; KOMMANDONEK; W. VAN KOMMANDONEK,1/4dg,2527DB,-25.62166,27.87166,North West,y
327888,"van Wyk, A.E.",1744,Asparagus virgatus Baker,South Africa,Transvaal,MAGALIESBURG; KOMMANDONEK; W. VAN KOMMANDONEK TEENOOR STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,,
328930,"Codd, L.E.W.",5703,Pavonia elegans Garcke,South Africa,Transvaal,NELSPRUIT DIST.; KRUGER NAT. PARK; 10 MI. E. OF SKUKUZA,,,0,0,Mpumalanga,y
328940,"Nelson, W.C.",92,Isolepis cernua (Vahl) Roem. & Schult. var. cernua,South Africa,Transvaal,RHENOSTERSPRUIT.,,,0,0,,
329233,"Mauve, A.A.",5000,Potamogeton octandrus Poir.,South Africa,Transvaal,PIENAARS RIVER; ROODEPLAAT DAM; LARGE OLD DAM N. OF ROODEPLAAT DAM,1/4dg,2528AD,-25.37166,28.37166,,
329234,"Mauve, A.A.",4999,Potamogeton schweinfurthii A.Benn.,South Africa,Transvaal,ROODEPLAAT DAM,1/4dg,2528AD,-25.37166,28.37166,,
329235,"Mauve, A.A.",4998,Potamogeton pectinatus L.,South Africa,Transvaal,ROODEPLAAT DAM,1/4dg,2528AD,-25.37166,28.37166,,
329236,"Mauve, A.A.",4996,Potamogeton nodosus Poir.,South Africa,Transvaal,PIENAARS RIVER; 30 KM. NE. OF PRETORIA AND N. OF ROODEPLAAT DAM,1/4dg,2528AD,-25.37166,28.37166,Gauteng,y
330071,"van Wyk, A.E.",1758,Thesium transvaalense Schltr.,South Africa,Transvaal,MAGALIESBERG; KOMMANDONEK; KLOOF AAN S. HANG VAN MT. NET W. VAN KOMMANDONEK TEENOOR STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
330147,Bolus,617A,Gladiolus sp.,South Africa,Transvaal,NORTHERN TRANSVAAL,,,0,0,,
330156,"van Wyk, A.E.",1743,Agelanthus natalitius (Meisn.) Polhill & Wiens subsp. zeyher,South Africa,Transvaal,MAGALIESBERG; KOMMANDONEK; KLOOF NET WES VAN KOMMANDONEK TEENOOR STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
330545,"Thorncroft, G.",2227,Viscum subserratum Schltr.,South Africa,Transvaal,BARBERTON DIST.; HYSLOPS CREEK,,,0,0,Mpumalanga,y
